index,transform,severity,Accuracy,Acc_authentic,Acc_AIGC,Acc_drop_vs_clean
0,clean,-,0.6577,0.875,0.4714,0.0
1,jpeg,90,0.6923,0.9,0.5143,-0.0346
2,jpeg,70,0.7115,0.8667,0.5786,-0.0538
3,jpeg,50,0.7154,0.8833,0.5714,-0.0577
4,jpeg,30,0.6731,0.8667,0.5071,-0.0154
5,blur,0.5,0.6923,0.9083,0.5071,-0.0346
6,blur,1,0.7077,0.8667,0.5714,-0.05
7,blur,2,0.6846,0.6417,0.7214,-0.0269
8,resize,0.5,0.75,0.8417,0.6714,-0.0923
9,resize,0.25,0.7038,0.6833,0.7214,-0.0462
10,noise,0.02,0.5923,0.925,0.3071,0.0654
11,noise,0.05,0.5731,0.95,0.25,0.0846
12,noise,0.1,0.5577,0.95,0.2214,0.1
13,color,1.2,0.6423,0.8583,0.4571,0.0154
14,crop,0.8,0.6923,0.8667,0.5429,-0.0346
